collar_id,site,treatment,start,end,day,fix,success,kept,reason,outlier step,outlier dist
81770,nimmie,manual,16/03/2021 11:00,15/04/2021 10:00,31,506,0.680107527,Y,,,
81771,nimmie,manual,16/03/2021 13:00,15/04/2021 10:00,31,635,0.853494624,Y,,,
81773,marimley,manual,18/03/2021 11:00,17/04/2021 8:00,31,583,0.783602151,Y,,,
88821,booligal,manual,20/10/2021 9:00,19/11/2021 7:00,31,558,0.75,Y,,,
88822,booligal,manual,19/10/2021 8:00,18/11/2021 7:00,31,661,0.88844086,Y,,,
88824,booligal,manual,19/10/2021 8:00,18/11/2021 7:00,31,645,0.866935484,Y,,,
88825,booligal,manual,19/10/2021 8:00,18/11/2021 7:00,31,678,0.911290323,Y,,,
88827,booligal,manual,19/10/2021 8:00,18/11/2021 7:00,31,554,0.744623656,Y,,,
88829,booligal,manual,20/10/2021 9:00,19/11/2021 8:00,31,565,0.759408602,Y,,,
88830,booligal,manual,20/10/2021 9:00,19/11/2021 8:00,31,609,0.818548387,Y,,,
150764,EF,pole,7/09/2022 15:00,7/10/2022 15:00,31,682,0.916666667,Y,,,
150765,EF,pole,7/09/2022 16:00,7/10/2022 15:00,31,674,0.905913978,Y,,,
150766,EF,pole,20/09/2022 10:00,20/10/2022 9:00,31,680,0.913978495,Y,,,
150767,EF,pole,16/02/2023 7:00,18/03/2023 7:00,31,670,0.900537634,Y,,,
150769,EF,pole,19/09/2022 22:00,19/10/2022 22:00,31,666,0.89516129,Y,,,
150772,EF,pole,7/09/2022 15:00,7/10/2022 15:00,31,677,0.909946237,Y,,,
150813,willowtree,manual,30/11/2022 7:00,30/12/2022 6:00,31,691,0.928763441,Y,,,
150814,willowtree,manual,1/12/2022 8:00,31/12/2022 7:00,31,692,0.930107527,Y,,,
150816,willowtree,manual,2/12/2022 8:00,1/01/2023 7:00,31,672,0.903225806,Y,,,
150817,willowtree,manual,30/11/2022 7:00,30/12/2022 6:00,31,689,0.926075269,Y,,,
150818,willowtree,manual,1/12/2022 8:00,31/12/2022 7:00,31,673,0.904569892,Y,,,
150819,willowtree,manual,19/12/2022 7:00,18/01/2023 6:00,31,690,0.927419355,Y,,,
150820,willowtree,manual,19/12/2022 7:00,18/01/2023 5:00,31,680,0.913978495,Y,,,
150821,willowtree,manual,19/12/2022 7:00,18/01/2023 6:00,31,678,0.911290323,Y,,,
