id,collar_shed,admin_loc2,doses
PC008,43,NA,1
PC009,NA,NA,1
DM83,NA,NA,NA
DM84,NA,NA,NA
DM85,NA,NA,NA
DM86,NA,NA,NA
DM87,NA,NA,NA
DM88,NA,NA,NA
PC010,NA,NA,1
PC011,NA,NA,1
PC012,NA,NA,1
PC013,NA,NA,1
PC014,NA,NA,2
PC015,NA,NA,1
PC016,0,NA,1
PC017,NA,NA,2
PC018,NA,rump,2
PC019,NA,NA,1
PC020,NA,NA,1
PC021,NA,NA,2
PC022,NA,NA,2
PC023,NA,scrotum,2
PC024,88,NA,1
PC025,30,NA,1
PC026,NA,NA,1
PC027,14,NA,1
PC028,14,NA,1
PC029,344,NA,1
PC030,0,NA,1
PC031,NA,NA,1
PC032,NA,NA,2
PC033,NA,NA,1
PC034,NA,NA,2
PC035,NA,NA,1
PC036,NA,NA,1
PC037,0,NA,1
PC038,393,NA,1
PC039,NA,NA,1
PC040,NA,NA,2
PC041,NA,NA,1
PC042,NA,NA,1
PC043,NA,NA,1
PC044,NA,NA,1
PC045,NA,NA,1
PC046,88,NA,1
PC047,NA,NA,1
PC048,116,NA,1
PC049,325,NA,1
PC050,81,NA,1
PC051,357,NA,1
PC052,350,NA,1
PC053,350,NA,1
PC054,37,NA,1
PC055,350,NA,1
PC056,135,NA,1
PC057,198,NA,1
PC058,168,NA,1
PC063,29,NA,1
PC064,29,NA,1
PC065,NA,NA,1
JH01,NA,NA,NA
JH03,NA,NA,NA
JH02,NA,NA,NA
JH04,NA,NA,NA
JH05,NA,NA,NA
PC066,NA,NA,1
PC067,15,NA,1
PC068,NA,NA,2
PC069,27,NA,1
PC070,NA,NA,1
PC071,NA,NA,1
PC072,NA,NA,1
PC073,133,NA,2
PC074,343,NA,2
PC075,NA,NA,1
PC076,69,NA,1
PC077,39,NA,1
PC078,178,NA,1
PC079,32,NA,1
PC080,20,NA,1
PC081,284,NA,1
PC082,265,NA,1
PC083,218,NA,1
PC084,NA,NA,1
PC085,94,NA,1
PC086,236,NA,1
PC087,18,NA,1
PC088,NA,NA,1
PC089,NA,NA,1
PC090,NA,NA,1
PC091,53,NA,1
PC092,527,NA,1
PC093,NA,NA,2
PC094,NA,NA,1
PC095,NA,NA,1
PC096,NA,NA,1
PC097,NA,NA,1
PC098,2,NA,1
PC099,333,NA,1
PC100,66,NA,1
PC101,530,NA,1
PC102,398,NA,1
PC103,331,NA,1
PC104,266,NA,1
PC105,264,NA,1
PC106,161,NA,1
PC107,49,NA,1
PC108,NA,NA,1
PC109,NA,NA,1
PC110,46,NA,2
PC111,47,NA,2
PC112,NA,NA,1
PC113,148,NA,1
PC114,NA,NA,1
PC115,NA,NA,2
PC116,NA,NA,1
PC117,NA,NA,1
PC124,NA,NA,1
PC125,NA,NA,1
PC126,NA,NA,1
PC127,NA,NA,1
