ID,Capture method,Name,State,Site,Latitude,Longitude,Date,,,,,,,,
DM133,Pole syringe,Alpine Collared Pig 54,NSW,Don Collett,-35.679603,149.751447,15/11/2021,,,,,,,,
DM132,Pole syringe,Alpine Collared Pig 106,NSW,Losbys,-34.506132,150.052471,10/11/2021,,,,,,,,
DM131,Pole syringe,Alpine Collared Pig 105,NSW,Lowsebys,-34.506132,150.052557,10/11/2021,,,,,,,,
DM130,Pole syringe,Alpine Collared Pig 53,NSW,Alpine,-35.849404,149.790383,9/11/2021,,,,,,,,
DM129,Pole syringe,Western Collared Pig 42,NSW,"My Jack
",-30.806189,143.777287,14/10/2021,,,,,,,,
DM128,Pole syringe,Western Collared Pig 41,NSW,"Mt Jack
",-30.806955,143.763647,13/10/2021,,,,,,,,
DM126,Pole syringe,Western Collared Pig 39,NSW,Mt Jack,-30.866131,143.656111,11/10/2021,,,,,,,,
DM125,Pole syringe,Western Collared Pig 38,NSW,Mt Jack,-30.82679,143.742426,10/10/2021,,,,,,,,
DM124,Pole syringe,Western Collared Pig 37,NSW,"My Jack
",-30.807173,143.679457,10/10/2021,,,,,,,,
DM123,Pole syringe,Western Collared Pig 36,NSW,CMt Jack,-30.866205,143.656197,9/10/2021,,,,,,,,
DM122,Pole syringe,Western Collared Pig 35,NSW,Clondyke,-30.718706,143.74319,9/10/2021,,,,,,,,
DM74,Pole syringe,Mulgate Creek Collared Pig 4,NSW,Llara,-30.253026,149.873669,21/07/2021,,,,,,,,
DM73,Pole syringe,Mulgate Creek Collared Pig 3,NSW,Llara,-30.253655,149.891453,21/07/2021,,,,,,,,
DM72,Pole syringe,Mulgate Creek Collared Pig 2,NSW,Nioka,-30.234537,149.96281,20/07/2021,,,,,,,,
DM71,Pole syringe,Mulgate Creek Collared Pig 1,NSW,Nioka,-30.234599,149.963036,20/07/2021,,,,,,,,
DM120,Pole syringe,Western Collared Pig 33,NSW,Mount Jack ,-30.807246,143.679512,17/05/2021,,,,,,,,
DM119,Pole syringe,Western Collared Pig 32,NSW,Norma Downs,-30.629761,143.923342,18/12/2020,,,,,,,,
